x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.047913,-0.265030,-0.980331,1.016654,252077.630107,2001-01-03 20:01:17.630 -0200
0.110611,-0.258163,-0.957962,0.998286,252077.600680,2001-01-03 20:01:17.601 -0200
0.086014,-0.244019,-0.978180,1.011820,252077.571244,2001-01-03 20:01:17.571 -0200
0.094940,-0.259064,-0.985107,1.023017,252077.541809,2001-01-03 20:01:17.542 -0200
0.066681,-0.239380,-0.981155,1.012134,252077.512373,2001-01-03 20:01:17.512 -0200
0.123047,-0.287247,-0.918503,0.970205,252077.482937,2001-01-03 20:01:17.483 -0200
0.047348,-0.257187,-0.842911,0.882545,252077.453500,2001-01-03 20:01:17.454 -0200
0.076569,-0.257233,-0.998276,1.033724,252077.424064,2001-01-03 20:01:17.424 -0200
0.072800,-0.228821,-0.938324,0.968561,252077.394628,2001-01-03 20:01:17.395 -0200
0.121094,-0.259903,-0.969788,1.011287,252077.365195,2001-01-03 20:01:17.365 -0200
0.115280,-0.272476,-0.986008,1.029439,252077.335758,2001-01-03 20:01:17.336 -0200
0.073410,-0.249054,-0.977814,1.011700,252077.306322,2001-01-03 20:01:17.306 -0200
0.067139,-0.238205,-0.950287,0.981985,252077.276885,2001-01-03 20:01:17.277 -0200
0.080032,-0.253113,-0.929626,0.966787,252077.247445,2001-01-03 20:01:17.247 -0200
0.088669,-0.278168,-0.965805,1.008969,252077.218009,2001-01-03 20:01:17.218 -0200
0.058395,-0.234833,-0.999329,1.028209,252077.188572,2001-01-03 20:01:17.189 -0200
0.020935,-0.234894,-0.988541,1.016280,252077.159135,2001-01-03 20:01:17.159 -0200
0.018921,-0.238007,-0.990341,1.018715,252077.129698,2001-01-03 20:01:17.130 -0200
0.013367,-0.251984,-0.973907,1.006067,252077.100259,2001-01-03 20:01:17.100 -0200
0.052094,-0.269089,-0.988510,1.025804,252077.070821,2001-01-03 20:01:17.071 -0200
-0.005600,-0.253372,-0.992844,1.024679,252077.041382,2001-01-03 20:01:17.041 -0200
-0.019150,-0.235580,-0.975861,1.004076,252077.011945,2001-01-03 20:01:17.012 -0200
-0.002655,-0.269653,-0.967239,1.004127,252076.982507,2001-01-03 20:01:16.983 -0200
0.006500,-0.272781,-0.981079,1.018316,252076.953074,2001-01-03 20:01:16.953 -0200
0.008560,-0.255417,-0.973480,1.006466,252076.923638,2001-01-03 20:01:16.924 -0200
-0.005310,-0.237488,-1.006088,1.033752,252076.894200,2001-01-03 20:01:16.894 -0200
-0.039764,-0.221481,-1.011017,1.035756,252076.864765,2001-01-03 20:01:16.865 -0200
-0.011749,-0.246552,-0.973038,1.003857,252076.835325,2001-01-03 20:01:16.835 -0200
0.006073,-0.247711,-0.975754,1.006724,252076.805887,2001-01-03 20:01:16.806 -0200
-0.030167,-0.203445,-0.955429,0.977315,252076.776451,2001-01-03 20:01:16.776 -0200
-0.020554,-0.216553,-0.935776,0.960726,252076.747013,2001-01-03 20:01:16.747 -0200
-0.003510,-0.215576,-0.945023,0.969305,252076.717578,2001-01-03 20:01:16.718 -0200
0.004257,-0.214981,-0.969421,0.992982,252076.688143,2001-01-03 20:01:16.688 -0200
-0.005234,-0.230545,-1.012527,1.038456,252076.658709,2001-01-03 20:01:16.659 -0200
