time,x,y,z
0.006,-0.046,0.082,1.052
0.007,-0.036,0.075,1.054
0.011,-0.032,0.070,1.050
0.017,-0.034,0.067,1.039
0.018,-0.031,0.071,1.032
0.023,-0.023,0.069,1.023
0.026,-0.022,0.067,1.008
0.042,-0.028,0.068,0.994
0.042,-0.032,0.069,0.989
0.043,-0.035,0.070,0.982
0.043,-0.034,0.069,0.975
0.046,-0.033,0.072,0.976
0.050,-0.032,0.073,0.980
0.054,-0.026,0.070,0.979
0.058,-0.023,0.077,0.983
0.062,-0.020,0.075,0.985
0.066,-0.024,0.075,0.985
0.070,-0.021,0.075,0.985
0.074,-0.026,0.074,0.982
0.078,-0.029,0.074,0.985
0.082,-0.032,0.077,0.982
0.087,-0.027,0.078,0.980
0.090,-0.024,0.075,0.980
0.094,-0.022,0.074,0.978
0.099,-0.025,0.071,0.975
0.102,-0.019,0.073,0.974
0.106,-0.019,0.077,0.969
0.109,-0.023,0.072,0.969
0.113,-0.020,0.073,0.970
0.117,-0.023,0.072,0.979
0.121,-0.028,0.071,0.980
0.125,-0.026,0.069,0.979
0.129,-0.025,0.068,0.975
0.143,-0.024,0.071,0.972
0.143,-0.022,0.073,0.966
0.143,-0.023,0.066,0.968
0.145,-0.025,0.067,0.971
0.149,-0.025,0.069,0.975
0.153,-0.023,0.068,0.978
0.157,-0.023,0.070,0.982
0.161,-0.016,0.068,0.979
0.166,-0.018,0.068,0.984
0.169,-0.015,0.070,0.980
0.173,-0.014,0.068,0.980
0.176,-0.016,0.070,0.981
0.192,-0.014,0.073,0.981
0.193,-0.019,0.068,0.982
0.193,-0.015,0.066,0.983
0.193,-0.016,0.065,0.988
0.196,-0.016,0.061,0.987
0.200,-0.022,0.067,0.989
0.204,-0.014,0.064,0.988
0.208,-0.015,0.066,0.988
0.212,-0.014,0.062,0.989
0.226,-0.017,0.060,0.994
0.226,-0.019,0.069,0.993
0.226,-0.015,0.065,0.988
0.228,-0.016,0.075,0.988
0.232,-0.017,0.075,0.987
0.240,-0.017,0.075,0.979
0.241,-0.020,0.073,0.979
0.244,-0.023,0.078,0.976
0.249,-0.020,0.079,0.967
0.252,-0.018,0.082,0.963
0.256,-0.024,0.081,0.960
0.260,-0.028,0.077,0.960
0.265,-0.026,0.080,0.961
0.268,-0.025,0.078,0.968
0.272,-0.029,0.075,0.976
0.275,-0.028,0.071,0.984
0.280,-0.030,0.073,0.984
0.284,-0.031,0.074,0.983
0.288,-0.029,0.075,0.982
0.292,-0.025,0.068,0.985
0.296,-0.021,0.069,0.985
0.300,-0.014,0.072,0.988
0.304,-0.020,0.070,0.991
0.307,-0.025,0.075,0.992
0.311,-0.025,0.070,0.995
0.316,-0.020,0.073,0.999
0.319,-0.024,0.071,1.003
0.323,-0.023,0.076,1.002
0.327,-0.022,0.072,0.998
0.343,-0.021,0.073,0.998
0.344,-0.021,0.069,1.004
0.344,-0.018,0.073,1.008
0.344,-0.018,0.071,1.007
0.347,-0.020,0.078,1.004
