time,x,y,z
0.016,-0.053,0.110,1.044
0.017,-0.049,0.111,1.040
0.017,-0.053,0.112,1.040
0.017,-0.050,0.118,1.035
0.017,-0.049,0.121,1.030
0.022,-0.045,0.126,1.019
0.025,-0.039,0.129,1.008
0.035,-0.037,0.130,0.997
0.035,-0.037,0.133,0.987
0.036,-0.036,0.136,0.976
0.040,-0.036,0.137,0.967
0.044,-0.035,0.138,0.961
0.048,-0.040,0.146,0.949
0.052,-0.039,0.143,0.941
0.056,-0.042,0.146,0.939
0.060,-0.036,0.150,0.928
0.065,-0.038,0.156,0.923
0.068,-0.039,0.155,0.921
0.072,-0.041,0.154,0.923
0.076,-0.039,0.153,0.923
0.080,-0.044,0.152,0.926
0.084,-0.046,0.153,0.940
0.088,-0.051,0.152,0.944
0.091,-0.048,0.152,0.957
0.103,-0.054,0.149,0.966
0.103,-0.059,0.145,0.988
0.103,-0.064,0.148,1.012
0.107,-0.068,0.140,1.032
0.114,-0.068,0.139,1.042
0.119,-0.065,0.138,1.044
0.119,-0.062,0.136,1.049
0.123,-0.061,0.135,1.040
0.127,-0.052,0.133,1.030
0.131,-0.054,0.129,1.019
0.135,-0.048,0.132,1.008
0.139,-0.045,0.134,0.996
0.143,-0.043,0.132,0.985
0.147,-0.041,0.133,0.978
0.151,-0.036,0.137,0.966
0.155,-0.033,0.132,0.964
0.158,-0.029,0.133,0.966
0.164,-0.032,0.131,0.974
0.167,-0.028,0.128,0.978
0.171,-0.022,0.126,0.985
0.175,-0.024,0.122,0.993
0.180,-0.017,0.116,0.991
0.183,-0.010,0.116,0.986
0.186,-0.006,0.111,0.989
0.190,-0.005,0.110,0.989
0.194,-0.003,0.104,0.984
0.199,-0.006,0.111,0.981
0.203,-0.013,0.114,0.972
0.207,-0.016,0.119,0.971
0.210,-0.018,0.123,0.973
0.223,-0.030,0.134,0.980
0.223,-0.034,0.135,0.981
0.223,-0.045,0.142,0.962
0.226,-0.043,0.132,0.970
0.231,-0.046,0.135,1.001
0.236,-0.049,0.140,1.001
0.238,-0.057,0.149,0.991
0.242,-0.053,0.146,0.983
0.247,-0.049,0.152,0.980
0.250,-0.053,0.156,0.973
0.254,-0.060,0.159,0.968
0.258,-0.072,0.161,0.958
0.263,-0.077,0.161,0.951
0.266,-0.062,0.157,0.953
0.270,-0.052,0.153,0.958
0.274,-0.044,0.149,0.959
0.278,-0.042,0.139,0.959
0.282,-0.044,0.137,0.961
0.285,-0.034,0.129,0.970
0.289,-0.015,0.117,0.972
0.293,0.012,0.094,0.980
0.307,0.041,0.067,0.977
0.307,0.039,0.057,0.975
